Trip ID,Pickup Date,Pickup Hours,Vehicle,Payment_type,No. of Passengers,Trip Distance,Booking Value,Location,Total Bookings
5591,2024-06-02 00:00:00,1899-12-30 17:14:42,Uber Green,Uber Pay,1,38.09,$100,LaGuardia Airport,1.00
79715,2024-06-23 00:00:00,1899-12-30 14:56:14,UberX,Uber Pay,1,38.01,$196.86,Midtown East,1.00
79961,2024-06-23 00:00:00,1899-12-30 14:17:11,Uber Comfort,Uber Pay,1,37.67,$110.75,NA,1.00
91034,2024-06-25 00:00:00,1899-12-30 15:26:34,Uber Green,Cash,1,37.38,$96.5,JFK Airport,1.00
32045,2024-06-11 00:00:00,1899-12-30 09:56:26,Uber Green,Uber Pay,1,37.06,$186.68,Midtown East,1.00
38503,2024-06-12 00:00:00,1899-12-30 18:06:30,UberX,Uber Pay,1,36.42,$111.25,Far Rockaway,1.00
74827,2024-06-22 00:00:00,1899-12-30 14:03:53,UberXL,Uber Pay,1,35.92,$97.75,Charleston/Tottenville,1.00
114427,2024-06-30 00:00:00,1899-12-30 14:28:29,UberX,Uber Pay,1,35.8,$121.95,JFK Airport,1.00
18771,2024-06-07 00:00:00,1899-12-30 10:13:56,Uber Comfort,Uber Pay,1,35.67,$95.25,Madison,1.00
69299,2024-06-20 00:00:00,1899-12-30 22:48:59,Uber Comfort,Cash,1,35.2,$95.5,LaGuardia Airport,1.00
96615,2024-06-26 00:00:00,1899-12-30 15:19:30,Uber Comfort,Uber Pay,1,35.09,$113,LaGuardia Airport,1.00
26846,2024-06-09 00:00:00,1899-12-30 17:39:00,UberXL,Cash,1,34.64,$90.5,Bloomfield/Emerson Hill,1.00
4793,2024-06-02 00:00:00,1899-12-30 14:24:50,UberX,Cash,1,33.8,$100,Midtown North,1.00
96300,2024-06-26 00:00:00,1899-12-30 15:15:21,UberXL,Uber Pay,1,32.8,$68.5,LaGuardia Airport,1.00
65259,2024-06-19 00:00:00,1899-12-30 18:33:15,Uber Black,Uber Pay,2,32.69,$88.5,Marble Hill,1.00
13340,2024-06-05 00:00:00,1899-12-30 11:37:02,Uber Comfort,Uber Pay,2,32.2,$140,JFK Airport,1.00
15797,2024-06-06 00:00:00,1899-12-30 00:05:35,UberXL,Cash,2,32.1,$83.5,JFK Airport,1.00
11404,2024-06-04 00:00:00,1899-12-30 16:53:55,UberXL,Cash,1,31.7,$160.5,Upper West Side South,1.00
48284,2024-06-15 00:00:00,1899-12-30 20:30:21,UberX,Uber Pay,1,31.44,$86.75,Brownsville,1.00
9135,2024-06-04 00:00:00,1899-12-30 01:25:41,UberX,Cash,2,31.34,$83,East Harlem South,1.00
13098,2024-06-05 00:00:00,1899-12-30 09:08:53,Uber Green,Uber Pay,1,31.31,$85.25,Gravesend,1.00
13214,2024-06-05 00:00:00,1899-12-30 10:09:54,Uber Comfort,Uber Pay,1,31.3,$85.5,TriBeCa/Civic Center,1.00
26895,2024-06-09 00:00:00,1899-12-30 17:41:47,Uber Black,Uber Pay,1,31.22,$88.25,Upper East Side South,1.00
75665,2024-06-22 00:00:00,1899-12-30 16:26:40,UberXL,Cash,1,31.1,$84,JFK Airport,1.00
66435,2024-06-20 00:00:00,1899-12-30 05:48:13,Uber Green,Cash,1,31.09,$93.5,Hamilton Heights,1.00
53307,2024-06-17 00:00:00,1899-12-30 08:08:17,Uber Comfort,Cash,1,31.08,$92,Lenox Hill East,1.00
50204,2024-06-16 00:00:00,1899-12-30 12:16:27,Uber Green,Cash,1,30.84,$83.5,JFK Airport,1.00
106163,2024-06-29 00:00:00,1899-12-30 00:05:22,UberXL,Uber Pay,1,30.79,$101.66,East Harlem North,1.00
83793,2024-06-24 00:00:00,1899-12-30 10:37:56,UberX,Cash,1,30.75,$85,LaGuardia Airport,1.00
32322,2024-06-11 00:00:00,1899-12-30 10:04:39,Uber Black,Uber Pay,1,30.74,$157.91,Midtown East,1.00
34681,2024-06-11 00:00:00,1899-12-30 19:10:30,UberX,Google Pay,1,30.7,$86,NA,1.00
81185,2024-06-23 00:00:00,1899-12-30 17:13:03,Uber Comfort,Uber Pay,1,30.64,$88.25,Upper East Side South,1.00
7817,2024-06-03 00:00:00,1899-12-30 14:07:11,Uber Comfort,Cash,1,30.55,$141,Upper West Side South,1.00
66639,2024-06-20 00:00:00,1899-12-30 08:11:28,UberX,Cash,1,30.29,$80.5,Soundview/Castle Hill,1.00
114470,2024-06-30 00:00:00,1899-12-30 15:45:57,UberX,Uber Pay,1,29.87,$102.66,Financial District South,1.00
115613,2024-06-30 00:00:00,1899-12-30 17:05:16,Uber Comfort,Uber Pay,1,29.84,$91.75,Upper East Side South,1.00
62399,2024-06-19 00:00:00,1899-12-30 09:58:45,UberX,Cash,1,29.83,$82.5,East Village,1.00
93492,2024-06-25 00:00:00,1899-12-30 22:37:51,UberX,Uber Pay,1,29.73,$83.75,Grymes Hill/Clifton,1.00
66730,2024-06-20 00:00:00,1899-12-30 09:33:14,UberXL,Uber Pay,6,29.46,$80.25,Pelham Parkway,1.00
102524,2024-06-27 00:00:00,1899-12-30 21:41:25,Uber Green,Cash,1,29.42,$82.5,Mount Hope,1.00
69377,2024-06-20 00:00:00,1899-12-30 23:59:41,UberXL,Cash,1,29.34,$79.5,LaGuardia Airport,1.00
78983,2024-06-23 00:00:00,1899-12-30 12:27:01,Uber Black,Uber Pay,1,29.2,$97.4,Lincoln Square West,1.00
7402,2024-06-03 00:00:00,1899-12-30 12:41:22,UberX,Uber Pay,1,29.03,$87.25,Van Nest/Morris Park,1.00
49902,2024-06-16 00:00:00,1899-12-30 11:43:54,UberX,Uber Pay,1,28.91,$87.75,Long Island City/Queens Plaza,1.00
34174,2024-06-11 00:00:00,1899-12-30 17:02:00,Uber Comfort,Uber Pay,1,28.8,$124.5,Lenox Hill East,1.00
105931,2024-06-28 00:00:00,1899-12-30 21:59:20,Uber Comfort,Uber Pay,1,28.79,$90.5,JFK Airport,1.00
60953,2024-06-18 00:00:00,1899-12-30 19:54:44,Uber Black,Uber Pay,1,28.62,$83.25,Boerum Hill,1.00
1718,2024-06-01 00:00:00,1899-12-30 14:37:23,UberXL,Cash,1,28.44,$78,Upper East Side South,1.00
64945,2024-06-19 00:00:00,1899-12-30 17:28:32,UberX,Uber Pay,1,28.37,$79.25,Upper East Side South,1.00
103695,2024-06-28 00:00:00,1899-12-30 11:03:42,UberXL,Cash,2,28.31,$80,LaGuardia Airport,1.00
17960,2024-06-06 00:00:00,1899-12-30 20:42:28,UberX,Cash,1,28.3,$75.5,JFK Airport,1.00
67130,2024-06-20 00:00:00,1899-12-30 11:32:49,UberX,Uber Pay,1,28.29,$82.75,Hammels/Arverne,1.00
62447,2024-06-19 00:00:00,1899-12-30 10:51:46,UberX,Cash,1,28.22,$76.5,JFK Airport,1.00
79232,2024-06-23 00:00:00,1899-12-30 12:03:42,Uber Black,Cash,1,28.2,$88.5,LaGuardia Airport,1.00
58722,2024-06-18 00:00:00,1899-12-30 12:47:27,UberX,Cash,1,28.08,$94.5,Bloomingdale,1.00
46523,2024-06-15 00:00:00,1899-12-30 13:39:54,Uber Comfort,Uber Pay,1,28.03,$84.75,Charleston/Tottenville,1.00
68219,2024-06-20 00:00:00,1899-12-30 16:54:09,Uber Comfort,Uber Pay,1,27.97,$78.75,Douglaston,1.00
41204,2024-06-13 00:00:00,1899-12-30 16:18:06,UberX,Cash,1,27.9,$98.5,NA,1.00
44512,2024-06-14 00:00:00,1899-12-30 21:43:32,UberX,Cash,2,27.81,$73,Manhattanville,1.00
60523,2024-06-18 00:00:00,1899-12-30 18:55:22,UberX,Cash,1,27.8,$79,JFK Airport,1.00
75125,2024-06-22 00:00:00,1899-12-30 15:46:25,Uber Comfort,Uber Pay,1,27.7,$98.45,JFK Airport,1.00
42985,2024-06-14 00:00:00,1899-12-30 11:43:10,UberX,Uber Pay,1,27.69,$76.75,Morningside Heights,1.00
92795,2024-06-25 00:00:00,1899-12-30 20:03:02,UberXL,Uber Pay,1,27.65,$75.75,Bay Ridge,1.00
18054,2024-06-06 00:00:00,1899-12-30 20:37:16,UberX,Uber Pay,1,27.6,$87.25,JFK Airport,1.00
11792,2024-06-04 00:00:00,1899-12-30 18:20:00,UberX,Uber Pay,1,27.53,$95.53999999999999,Hammels/Arverne,1.00
112699,2024-06-30 00:00:00,1899-12-30 10:47:23,UberX,Uber Pay,1,27.2,$92.48,West Chelsea/Hudson Yards,1.00
9197,2024-06-04 00:00:00,1899-12-30 05:55:29,Uber Green,Uber Pay,1,27.16,$86.66,JFK Airport,1.00
12232,2024-06-04 00:00:00,1899-12-30 20:36:04,Uber Comfort,Cash,2,27.11,$71,JFK Airport,1.00
23619,2024-06-08 00:00:00,1899-12-30 20:33:34,UberXL,Cash,2,27.04,$74,JFK Airport,1.00
2974,2024-06-01 00:00:00,1899-12-30 21:37:09,Uber Black,Uber Pay,1,27.01,$74.5,Lincoln Square East,1.00
31456,2024-06-11 00:00:00,1899-12-30 04:38:26,UberX,Uber Pay,1,26.9,$93.7,TriBeCa/Civic Center,1.00
38868,2024-06-12 00:00:00,1899-12-30 20:59:51,Uber Green,Cash,1,26.9,$72,JFK Airport,1.00
76111,2024-06-22 00:00:00,1899-12-30 18:23:04,UberX,Cash,1,26.86,$70,JFK Airport,1.00
106497,2024-06-29 00:00:00,1899-12-30 06:26:20,UberX,Cash,1,26.79,$80,Van Nest/Morris Park,1.00
17418,2024-06-06 00:00:00,1899-12-30 17:47:19,Uber Green,Cash,1,26.7,$71,Battery Park City,1.00
42440,2024-06-14 00:00:00,1899-12-30 00:50:15,Uber Black,Uber Pay,1,26.67,$86.68,JFK Airport,1.00
107534,2024-06-29 00:00:00,1899-12-30 10:18:53,UberXL,Cash,5,26.67,$76,Greenwich Village North,1.00
232,2024-06-01 00:00:00,1899-12-30 06:57:02,UberX,Cash,1,26.64,$70.5,JFK Airport,1.00
20179,2024-06-07 00:00:00,1899-12-30 20:08:26,UberXL,Uber Pay,1,26.64,$86,JFK Airport,1.00
70336,2024-06-21 00:00:00,1899-12-30 12:30:25,Uber Comfort,Uber Pay,2,26.62,$89.86,Sutton Place/Turtle Bay North,1.00
61463,2024-06-19 00:00:00,1899-12-30 00:30:54,UberX,Uber Pay,2,26.59,$84.26,JFK Airport,1.00
17999,2024-06-06 00:00:00,1899-12-30 20:35:36,UberX,Uber Pay,1,26.55,$88.98,JFK Airport,1.00
32889,2024-06-11 00:00:00,1899-12-30 12:03:38,Uber Comfort,Uber Pay,1,26.55,$74.25,Douglaston,1.00
102049,2024-06-27 00:00:00,1899-12-30 19:47:15,Uber Green,Uber Pay,2,26.5,$107.38,NV,1.00
21248,2024-06-08 00:00:00,1899-12-30 10:29:01,UberXL,Uber Pay,1,26.43,$80.62,Park Slope,1.00
93135,2024-06-25 00:00:00,1899-12-30 22:45:56,UberX,Uber Pay,2,26.42,$78.5,JFK Airport,1.00
5149,2024-06-02 00:00:00,1899-12-30 16:46:27,Uber Comfort,Uber Pay,1,26.41,$88.58,JFK Airport,1.00
76883,2024-06-22 00:00:00,1899-12-30 21:08:37,UberX,Cash,2,26.4,$71,JFK Airport,1.00
102237,2024-06-27 00:00:00,1899-12-30 20:29:08,Uber Black,Cash,1,26.33,$69,JFK Airport,1.00
2771,2024-06-01 00:00:00,1899-12-30 19:23:45,Uber Green,Uber Pay,1,26.2,$76,Murray Hill,1.00
100397,2024-06-27 00:00:00,1899-12-30 12:32:41,Uber Comfort,Cash,2,26.2,$71,LaGuardia Airport,1.00
109652,2024-06-29 00:00:00,1899-12-30 16:25:54,Uber Green,Uber Pay,1,26.18,$72.75,Bayside,1.00
79932,2024-06-23 00:00:00,1899-12-30 14:13:42,Uber Comfort,Uber Pay,1,26.13,$90.08,NV,1.00
8997,2024-06-03 00:00:00,1899-12-30 20:53:15,UberXL,Cash,1,26.1,$73,Upper East Side South,1.00
108160,2024-06-29 00:00:00,1899-12-30 12:38:27,Uber Comfort,Uber Pay,1,26.1,$85,LaGuardia Airport,1.00
49665,2024-06-16 00:00:00,1899-12-30 10:34:47,UberX,Uber Pay,1,26.05,$73.25,Sheepshead Bay,1.00
33163,2024-06-11 00:00:00,1899-12-30 13:03:31,UberX,Uber Pay,1,26.01,$72.25,Bensonhurst West,1.00
15467,2024-06-05 00:00:00,1899-12-30 20:07:35,UberX,Uber Pay,1,25.98,$87.48,Sunset Park East,1.00
16413,2024-06-06 00:00:00,1899-12-30 11:50:43,Uber Comfort,Uber Pay,1,25.93,$72.75,Madison,1.00
62792,2024-06-19 00:00:00,1899-12-30 11:54:17,UberX,Uber Pay,1,25.91,$73.75,Sheepshead Bay,1.00
64349,2024-06-19 00:00:00,1899-12-30 16:03:36,Uber Comfort,Uber Pay,1,25.85,$81.8,JFK Airport,1.00
67797,2024-06-20 00:00:00,1899-12-30 12:36:43,Uber Green,Uber Pay,1,25.84,$77.25,Rosedale,1.00
98394,2024-06-26 00:00:00,1899-12-30 20:01:31,UberX,Uber Pay,1,25.82,$72.75,Coney Island,1.00
371,2024-06-01 00:00:00,1899-12-30 07:19:10,UberX,Uber Pay,1,25.81,$71.75,Hammels/Arverne,1.00
24287,2024-06-09 00:00:00,1899-12-30 07:37:22,UberX,Uber Pay,1,25.8,$71.75,Hammels/Arverne,1.00
51236,2024-06-16 00:00:00,1899-12-30 15:34:31,UberX,Cash,1,25.75,$72.5,JFK Airport,1.00
57004,2024-06-17 00:00:00,1899-12-30 23:24:56,UberXL,Cash,1,25.74,$70,LaGuardia Airport,1.00
23512,2024-06-08 00:00:00,1899-12-30 19:50:06,UberX,Cash,6,25.7,$69,JFK Airport,1.00
69896,2024-06-21 00:00:00,1899-12-30 09:18:27,UberX,Uber Pay,1,25.7,$70.25,Madison,1.00
103899,2024-06-28 00:00:00,1899-12-30 12:19:16,Uber Comfort,Uber Pay,1,25.7,$70.75,Sheepshead Bay,1.00
74223,2024-06-22 00:00:00,1899-12-30 13:54:56,Uber Comfort,Uber Pay,1,25.69,$85.96000000000001,JFK Airport,1.00
100656,2024-06-27 00:00:00,1899-12-30 13:24:19,Uber Comfort,Uber Pay,1,25.66,$71.25,Van Nest/Morris Park,1.00
112705,2024-06-30 00:00:00,1899-12-30 10:16:53,UberX,Cash,1,25.66,$68.5,JFK Airport,1.00
113938,2024-06-30 00:00:00,1899-12-30 13:51:17,Uber Black,Uber Pay,1,25.62,$70.25,Bayside,1.00
27333,2024-06-09 00:00:00,1899-12-30 19:41:25,Uber Green,Uber Pay,1,25.6,$72.75,Springfield Gardens North,1.00
100701,2024-06-27 00:00:00,1899-12-30 13:02:52,Uber Green,Uber Pay,1,25.6,$89,JFK Airport,1.00
38088,2024-06-12 00:00:00,1899-12-30 17:11:02,UberXL,Cash,1,25.59,$77,Lenox Hill East,1.00
19470,2024-06-07 00:00:00,1899-12-30 15:34:07,UberX,Uber Pay,1,25.48,$69.25,Charleston/Tottenville,1.00
103567,2024-06-28 00:00:00,1899-12-30 10:04:44,UberXL,Cash,1,25.46,$72.5,Fort Greene,1.00
40278,2024-06-13 00:00:00,1899-12-30 12:44:40,Uber Black,Uber Pay,1,25.44,$71.25,Marine Park/Mill Basin,1.00
92521,2024-06-25 00:00:00,1899-12-30 19:28:06,Uber Black,Uber Pay,2,25.44,$75.96,East Harlem South,1.00
111946,2024-06-30 00:00:00,1899-12-30 07:42:58,UberX,Uber Pay,1,25.44,$76.25,Hammels/Arverne,1.00
36207,2024-06-12 00:00:00,1899-12-30 10:36:37,Uber Green,Uber Pay,1,25.41,$80.56,JFK Airport,1.00
12333,2024-06-04 00:00:00,1899-12-30 22:25:04,UberXL,Uber Pay,2,25.4,$80.05,JFK Airport,1.00
18267,2024-06-06 00:00:00,1899-12-30 23:21:54,UberX,Cash,1,25.37,$67,LaGuardia Airport,1.00
57505,2024-06-18 00:00:00,1899-12-30 07:33:34,Uber Black,Uber Pay,1,25.37,$72.75,Hammels/Arverne,1.00
69376,2024-06-20 00:00:00,1899-12-30 23:16:36,UberX,Uber Pay,1,25.32,$76.75,Homecrest,1.00
1771,2024-06-01 00:00:00,1899-12-30 14:13:39,UberXL,Cash,1,25.22,$80,NA,1.00
44672,2024-06-15 00:00:00,1899-12-30 00:34:05,UberX,Cash,1,25.15,$84,East Williamsburg,1.00
115602,2024-06-30 00:00:00,1899-12-30 17:09:11,Uber Green,Uber Pay,1,25.12,$90.45,JFK Airport,1.00
85168,2024-06-24 00:00:00,1899-12-30 14:42:39,UberX,Uber Pay,1,25.1,$78.73,Boerum Hill,1.00
110196,2024-06-29 00:00:00,1899-12-30 17:56:31,UberXL,Cash,1,25.1,$69.5,JFK Airport,1.00
23503,2024-06-08 00:00:00,1899-12-30 19:36:35,UberX,Uber Pay,1,25.03,$78.96000000000001,JFK Airport,1.00
82331,2024-06-23 00:00:00,1899-12-30 23:33:41,Uber Comfort,Uber Pay,1,25,$81.2,JFK Airport,1.00
61897,2024-06-19 00:00:00,1899-12-30 07:29:52,UberX,Uber Pay,1,24.98,$71.25,Hammels/Arverne,1.00
55371,2024-06-17 00:00:00,1899-12-30 15:17:12,Uber Black,Uber Pay,1,24.95,$67.75,Norwood,1.00
102244,2024-06-27 00:00:00,1899-12-30 20:44:10,Uber Green,Uber Pay,1,24.84,$79.48,JFK Airport,1.00
18202,2024-06-06 00:00:00,1899-12-30 22:26:56,Uber Green,Cash,1,24.83,$69.5,JFK Airport,1.00
2984,2024-06-01 00:00:00,1899-12-30 21:48:26,Uber Green,Uber Pay,1,24.79,$78,East Harlem South,1.00
35925,2024-06-12 00:00:00,1899-12-30 09:58:55,Uber Comfort,Uber Pay,1,24.79,$69.75,Schuylerville/Edgewater Park,1.00
4818,2024-06-02 00:00:00,1899-12-30 14:45:23,UberX,Uber Pay,2,24.69,$77.75,Longwood,1.00
2712,2024-06-01 00:00:00,1899-12-30 19:15:40,Uber Comfort,Uber Pay,1,24.68,$71.5,Midtown South,1.00
95963,2024-06-26 00:00:00,1899-12-30 14:36:07,UberX,Uber Pay,2,24.61,$89.38,Upper West Side North,1.00
43169,2024-06-14 00:00:00,1899-12-30 13:30:06,Uber Green,Uber Pay,1,24.6,$80,JFK Airport,1.00
99694,2024-06-27 00:00:00,1899-12-30 09:16:24,Uber Black,Uber Pay,1,24.6,$68.5,Sutton Place/Turtle Bay North,1.00
101877,2024-06-27 00:00:00,1899-12-30 18:51:53,UberXL,Cash,1,24.6,$73,Erasmus,1.00
93668,2024-06-26 00:00:00,1899-12-30 07:01:34,Uber Comfort,Uber Pay,1,24.58,$73.25,NA,1.00
26483,2024-06-09 00:00:00,1899-12-30 16:23:36,UberX,Uber Pay,2,24.54,$86.61,East Chelsea,1.00
6461,2024-06-03 00:00:00,1899-12-30 07:52:29,UberX,Cash,1,24.4,$70,Clinton East,1.00
18165,2024-06-06 00:00:00,1899-12-30 22:43:17,Uber Black,Uber Pay,1,24.3,$85.05,JFK Airport,1.00
39861,2024-06-13 00:00:00,1899-12-30 09:53:29,UberX,Cash,1,24.29,$64.5,JFK Airport,1.00
115509,2024-06-30 00:00:00,1899-12-30 17:53:28,UberXL,Uber Pay,1,24.21,$70.75,Hammels/Arverne,1.00
59831,2024-06-18 00:00:00,1899-12-30 15:49:41,UberX,Uber Pay,1,24.2,$76.5,JFK Airport,1.00
78461,2024-06-23 00:00:00,1899-12-30 10:21:21,UberXL,Cash,1,24.2,$70,Clinton East,1.00
30859,2024-06-10 00:00:00,1899-12-30 18:14:00,Uber Comfort,Uber Pay,1,24.19,$74,UN/Turtle Bay South,1.00
21334,2024-06-08 00:00:00,1899-12-30 10:52:30,UberX,Uber Pay,1,24.18,$77.5,Penn Station/Madison Sq West,1.00
18025,2024-06-06 00:00:00,1899-12-30 20:09:31,UberX,Uber Pay,1,24.16,$72.75,Cypress Hills,1.00
10851,2024-06-04 00:00:00,1899-12-30 14:51:20,UberX,Uber Pay,1,24.1,$71,Penn Station/Madison Sq West,1.00
18078,2024-06-06 00:00:00,1899-12-30 21:58:11,UberX,Cash,2,24.08,$74.5,Flatbush/Ditmas Park,1.00
108365,2024-06-29 00:00:00,1899-12-30 13:12:26,UberXL,Cash,1,24.07,$72.5,Upper West Side North,1.00
44816,2024-06-15 00:00:00,1899-12-30 06:12:41,UberXL,Uber Pay,1,24.04,$77.5,JFK Airport,1.00
69036,2024-06-20 00:00:00,1899-12-30 20:31:34,UberXL,Cash,1,24,$63.5,JFK Airport,1.00
11931,2024-06-04 00:00:00,1899-12-30 19:36:07,Uber Black,Uber Pay,1,23.93,$48.86,Clinton East,1.00
54283,2024-06-17 00:00:00,1899-12-30 12:02:23,Uber Green,Uber Pay,1,23.9,$75.75,JFK Airport,1.00
77059,2024-06-22 00:00:00,1899-12-30 22:33:26,UberXL,Cash,1,23.89,$64,JFK Airport,1.00
69766,2024-06-21 00:00:00,1899-12-30 07:24:53,UberXL,Uber Pay,1,23.8,$66.25,Mariners Harbor,1.00
82266,2024-06-23 00:00:00,1899-12-30 22:50:11,UberX,Uber Pay,1,23.77,$68.25,Hammels/Arverne,1.00
47222,2024-06-15 00:00:00,1899-12-30 16:42:59,UberXL,Uber Pay,1,23.76,$69.5,JFK Airport,1.00
103608,2024-06-28 00:00:00,1899-12-30 10:32:01,Uber Black,Uber Pay,1,23.75,$66.25,Mariners Harbor,1.00
42865,2024-06-14 00:00:00,1899-12-30 10:48:05,Uber Black,Uber Pay,2,23.7,$72.75,Brighton Beach,1.00
93171,2024-06-25 00:00:00,1899-12-30 22:28:18,Uber Green,Uber Pay,1,23.67,$77.68,JFK Airport,1.00
15592,2024-06-05 00:00:00,1899-12-30 21:13:49,Uber Green,Cash,1,23.64,$62,JFK Airport,1.00
37857,2024-06-12 00:00:00,1899-12-30 16:21:42,Uber Comfort,Uber Pay,1,23.61,$80.75,Queensbridge/Ravenswood,1.00
61404,2024-06-18 00:00:00,1899-12-30 23:52:43,Uber Comfort,Cash,1,23.6,$62,LaGuardia Airport,1.00
99736,2024-06-27 00:00:00,1899-12-30 09:11:34,Uber Green,Uber Pay,1,23.56,$75.76,East Elmhurst,1.00
58476,2024-06-18 00:00:00,1899-12-30 11:21:28,UberX,Uber Pay,1,23.54,$77.75,Cambria Heights,1.00
28914,2024-06-10 00:00:00,1899-12-30 11:20:47,Uber Black,Uber Pay,1,23.46,$109,NV,1.00
44099,2024-06-14 00:00:00,1899-12-30 18:24:21,UberX,Uber Pay,1,23.45,$64.75,Madison,1.00
38280,2024-06-12 00:00:00,1899-12-30 17:07:37,Uber Comfort,Uber Pay,1,23.41,$69.75,Upper East Side South,1.00
11159,2024-06-04 00:00:00,1899-12-30 15:20:24,UberX,Uber Pay,1,23.4,$68,JFK Airport,1.00
15441,2024-06-05 00:00:00,1899-12-30 20:19:27,UberX,Cash,4,23.4,$67.5,JFK Airport,1.00
4101,2024-06-02 00:00:00,1899-12-30 11:49:21,Uber Comfort,Cash,1,23.39,$61,JFK Airport,1.00
35965,2024-06-12 00:00:00,1899-12-30 09:55:59,UberX,Cash,1,23.35,$67,UN/Turtle Bay South,1.00
61174,2024-06-18 00:00:00,1899-12-30 21:49:26,UberX,Uber Pay,1,23.34,$74.06,JFK Airport,1.00
53685,2024-06-17 00:00:00,1899-12-30 10:32:10,Uber Comfort,Cash,1,23.25,$62,JFK Airport,1.00
6151,2024-06-02 00:00:00,1899-12-30 22:00:47,UberX,Uber Pay,1,23.24,$72.5,Central Harlem North,1.00
15816,2024-06-06 00:00:00,1899-12-30 01:37:22,UberX,Uber Pay,1,23.21,$77.66,Steinway,1.00
110568,2024-06-29 00:00:00,1899-12-30 18:16:03,Uber Black,Uber Pay,1,23.2,$84.14,TriBeCa/Civic Center,1.00
48402,2024-06-15 00:00:00,1899-12-30 21:47:33,UberXL,Uber Pay,1,23.12,$64.25,Hammels/Arverne,1.00
23241,2024-06-08 00:00:00,1899-12-30 17:20:23,Uber Comfort,Uber Pay,1,23.1,$71,LaGuardia Airport,1.00
23589,2024-06-08 00:00:00,1899-12-30 19:51:06,UberX,Amazon Pay,1,23.1,$2.5,NA,1.00
48321,2024-06-15 00:00:00,1899-12-30 21:50:30,Uber Green,Cash,1,23.1,$61.5,Clinton East,1.00
59988,2024-06-18 00:00:00,1899-12-30 16:09:16,UberX,Cash,1,23.08,$67,NA,1.00
61591,2024-06-19 00:00:00,1899-12-30 05:24:45,UberXL,Uber Pay,1,23.07,$61,Gravesend,1.00
71671,2024-06-21 00:00:00,1899-12-30 19:34:42,Uber Comfort,Uber Pay,1,23.04,$64.25,Douglaston,1.00
51129,2024-06-16 00:00:00,1899-12-30 15:08:11,UberXL,Uber Pay,1,22.99,$58.75,Long Island City/Queens Plaza,1.00
44126,2024-06-14 00:00:00,1899-12-30 18:23:30,UberX,Uber Pay,1,22.96,$72.5,JFK Airport,1.00
58177,2024-06-18 00:00:00,1899-12-30 10:48:28,Uber Comfort,Cash,1,22.93,$62,LaGuardia Airport,1.00
83070,2024-06-24 00:00:00,1899-12-30 08:52:46,Uber Black,Cash,1,22.93,$68,Garment District,1.00
90547,2024-06-25 00:00:00,1899-12-30 14:42:57,UberXL,Cash,1,22.91,$88.5,Central Harlem,1.00
13538,2024-06-05 00:00:00,1899-12-30 12:04:50,Uber Black,Uber Pay,1,22.9,$131.46,Alphabet City,1.00
91184,2024-06-25 00:00:00,1899-12-30 16:58:06,UberX,Cash,1,22.86,$64.5,JFK Airport,1.00
